row,load_tx,load_rx,cpu,frequency,reward
1,157314,113946,15.4,22.0,0
15,132212,79664,15.23,22.0,0.501
2,125970,105742,16.37,22.0,0.502
16,147310,87058,16.34,22.0,1.002
3,120880,79670,17.36,22.0,0.502
17,100086,2423338,18.13,22.0,1.002
4,108312,74450,18.66,22.0,0.505
18,858,150,22.54,23.0,0.508
5,128758,122886,19.43,23.0,0.505
19,115072,74000,20.41,23.0,0.508
6,95054,67900,20.28,22.0,0.513
20,121204,76798,21.31,22.0,2.02
7,114684,74354,21.26,22.0,0.513
21,107592,70856,22.41,22.0,2.02
8,55186,452966,22.94,21.0,2.028
22,123776,86344,29.41,21.0,1.043
9,462,66,32.56,21.0,2.028
23,95380,67224,29.01,21.0,1.043
10,1050,53112,29.34,21.0,1.568
24,114222,76244,29.26,22.0,0.792
11,125424,89664,29.21,22.0,1.568
25,3036,198,28.63,22.0,0.792
12,187644,100154,29.14,22.0,0.8049999999999999
26,396,388806,35.76,22.0,1.267
13,102678,71758,29.28,22.0,0.8049999999999999
27,2082,63238,35.39,22.0,1.267
14,107706,70366,35.31,21.0,2.31
28,131366,91348,35.65,21.0,1.3050000000000002
15,121678,73654,35.6,21.0,2.31
29,136740,87278,35.67,21.0,1.3050000000000002
16,225832,1674022,35.24,21.0,1.321
30,116792,67654,35.17,20.0,1.326
17,132,68540,35.13,20.0,1.321
31,103494,69394,35.11,20.0,1.326
18,116694,81010,35.05,19.0,1.2850000000000001
32,104834,64574,35.05,21.0,1.283
19,102754,83496,35.06,21.0,1.2850000000000001
33,990,24446,35.09,21.0,1.283
20,115434,79814,35.07,21.0,2.7800000000000002
34,103536,69396,35.1,21.0,1.282
21,124686,79740,35.07,21.0,2.7800000000000002
35,99300,69386,35.15,21.0,1.282
22,97170,63290,35.15,21.0,1.28
36,102086,70096,35.24,21.0,1.287
23,110488,73578,35.24,21.0,1.28
37,118754,87266,35.25,21.0,1.287
24,121378,71710,35.25,22.0,1.294
38,96588,67076,35.25,21.0,1.294
25,2058,28132,36.39,21.0,1.294
39,102716,66868,35.36,21.0,1.294
26,145994,99420,35.39,21.0,1.375
40,111726,64478,35.34,21.0,1.303
27,127626,82108,35.34,21.0,1.375
41,61092,339864,35.27,21.0,1.303
28,137636,86810,35.4,21.0,2.801
42,198,63446,35.53,21.0,1.296
29,134710,84658,35.46,21.0,2.801
43,123436,77852,35.43,21.0,1.296
30,125568,80406,35.41,21.0,2.81
44,124160,77408,35.51,20.0,1.308
31,125614,79648,35.51,20.0,2.81
45,114366,75792,35.57,20.0,1.308
32,196010,91740,35.55,20.0,2.814
46,76854,72024,35.71,20.0,1.819
33,1650,172180,35.97,20.0,2.814
47,93298,66254,35.7,20.0,1.819
34,1672,79524,35.6,20.0,2.847
48,129510,154610,35.6,20.0,1.8279999999999998
35,100398,65568,35.79,20.0,2.847
36,112872,123410,35.79,21.0,1.335
37,99854,71464,35.89,21.0,1.335
38,220746,126576,35.62,21.0,1.342
39,94434,66226,35.67,21.0,1.342
40,88452,2092874,35.74,21.0,2.826
41,1320,529666,39.72,21.0,2.826
42,90578,73324,35.93,22.0,2.999
43,98702,64984,36.05,22.0,2.999
44,205068,71626,36.08,23.0,1.353
45,44548,56704,35.96,23.0,1.353
46,37264,52548,35.93,24.0,2.847
47,39784,56374,35.93,24.0,2.847
48,0,0,35.93,24.0,2.844
49,60,814,35.93,24.0,2.844
50,0,814,35.93,24.0,1.8439999999999999
51,60,0,35.93,24.0,1.8439999999999999
52,0,814,35.93,24.0,2.844
53,0,874,35.93,24.0,2.844
54,0,0,35.93,24.0,1.8439999999999999
55,0,0,35.93,24.0,1.8439999999999999
56,0,814,35.93,24.0,1.8439999999999999
57,0,814,35.93,24.0,1.8439999999999999
58,0,0,35.93,24.0,1.3439999999999999
59,0,814,35.93,24.0,1.3439999999999999
60,0,814,35.93,24.0,1.8439999999999999
61,0,0,35.93,24.0,1.8439999999999999
62,0,0,35.93,24.0,1.8439999999999999
63,60,814,35.93,24.0,1.8439999999999999
64,94,0,35.93,24.0,1.3439999999999999
65,0,0,35.93,24.0,1.3439999999999999
66,0,814,35.93,23.0,1.3439999999999999
67,0,0,35.93,23.0,1.3439999999999999
68,0,0,35.93,22.0,1.3439999999999999
69,0,0,35.93,22.0,1.3439999999999999
70,0,814,35.93,21.0,1.3439999999999999
71,0,814,35.93,21.0,1.3439999999999999
72,0,0,35.93,21.0,1.3439999999999999
73,60,0,35.93,21.0,1.3439999999999999
74,60,814,35.93,21.0,2.844
75,60,814,35.93,21.0,2.844
76,60,814,35.93,21.0,2.844
77,0,0,35.93,21.0,2.844
78,0,0,35.93,21.0,1.3439999999999999
79,120,814,35.93,21.0,1.3439999999999999
80,0,982,35.93,21.0,1.3439999999999999
81,0,0,35.93,21.0,1.3439999999999999
