Row,RX,TX
1,189136,249584
2,139988,209394
3,150544,173676
4,121983,164306
5,154196,188524
6,146701,180820
7,108584,184808
8,217516,246036
9,63134,93118
10,78758,75620
11,62352,81096
12,138431,131928
13,117642,216628
14,130866,137446
15,99290,116620
16,44422,78194
17,100474,66634
18,55800,86230
19,78552,122822
20,76558,116524
21,58746,115760
22,62876,90522
23,54910,94210
24,55576,91858
25,69552,83596
26,109788,101938
27,134846,123948
28,154585,98242
29,141590,117284
30,114962,105372
31,153706,103574
32,218130,85838
33,86816,90730
34,87760,90626
35,70010,133456
36,75804,110752
37,60784,86288
38,79374,90648
39,50522,97240
40,78148,83192
41,109442,110754
42,48600,130558
43,53242,93206
44,57972,92600
45,62612,91436
46,72294,109126
47,259880,109904
48,37136,48830
49,52920,66460
50,54356,83108
51,77570,104248
52,70398,113156
53,68640,110926
54,61896,111980
55,57278,108712
56,86964,117034
57,63626,178674
58,78709,151754
59,57724,148200
60,96375,133984
61,70480,187090
62,376822,140274
63,107710,107008
64,91022,149362
65,97406,137930
66,118448,105874
67,93554,130498
68,104390,110120
69,88436,105198
70,79154,113282
71,81268,122974
72,59848,92450
73,86202,86122
74,64968,99264
75,67640,98620
76,78174,102488
77,456890,112580
78,71926,103362
79,69300,97812
80,66820,113548
81,78492,97744
82,72158,114446
83,100330,163114
84,66810,92264
85,39192,83904
86,60796,85588
87,67654,109814
88,70002,86080
89,63078,98778
90,73372,99778
91,70218,159244
92,513686,87344
93,65914,59020
94,77524,112926
95,74318,105362
96,73668,103150
97,104240,114374
98,70912,142956
99,68742,107096
100,45880,76840
101,63788,98216
102,65242,94242
103,58740,95390
104,65586,85806
105,72500,156346
106,58866,87912
107,596956,90830
108,73144,74376
109,67490,114502
110,68726,103702
111,80986,107978
112,105100,136880
113,76454,113232
114,77584,100508
115,56838,75324
116,75408,100596
117,79490,96680
118,74070,82722
119,84026,83776
120,124266,143660
121,68960,86160
122,689674,86920
123,73790,29364
124,125163,84708
125,73852,118844
126,61988,82840
127,82484,81692
128,71560,66530
129,86614,129382
130,56514,75716
131,73642,102408
132,65628,69234
133,73570,227920
134,66218,92042
135,63956,95716
136,52522,97516
137,782154,141494
138,79070,67536
139,67340,100008
140,74316,94664
141,56286,257620
142,55404,77706
143,56692,87006
144,54410,81026
145,36330,64576
146,66780,154686
147,58248,81014
148,58510,88186
149,70666,118116
150,55156,89350
151,56490,84920
152,838218,79854
153,80180,50306
154,65158,169604
155,64076,89604
156,62016,102322
157,81244,102978
158,63158,100290
159,48958,103330
160,18722,40284
161,104924,112926
162,73932,138602
163,68748,108716
164,75666,108464
165,68200,105134
166,62914,105046
167,914938,91538
168,106704,32238
169,76100,151426
170,58950,94916
171,68398,81286
172,63222,108850
173,69074,103354
174,71122,102536
175,31518,58474
176,84856,163910
177,58182,94812
178,50342,86400
179,68714,87240
180,59130,86224
181,59600,89204
182,975068,101198
183,66404,16426
184,90608,143810
185,69268,96178
186,59364,93568
187,64008,88084
188,59352,88440
189,70650,96408
190,10094,51196
191,79176,109550
192,66470,190424
193,72216,98930
194,68082,103824
195,69737,109732
196,71328,100622
197,1076258,97154
198,73004,29200
199,91268,176174
200,54390,97242
201,46526,81708
202,60936,77614
203,59426,93366
204,58146,74656
205,10984,41878
206,63430,96274
207,118918,117790
208,71262,107214
209,70020,103454
210,70206,113286
211,67000,101472
212,1111818,98404
213,64534,20102
214,124058,118368
215,58842,110046
216,58408,79938
217,54736,83198
218,59298,91460
219,58504,83074
220,60610,41750
221,68164,102812
222,111478,104698
223,71702,175374
224,67450,104798
225,72526,100422
226,67816,99280
227,1162870,100846
228,60752,28306
229,67740,108596
230,80774,152890
231,54184,149474
232,56014,65446
233,56430,85834
234,68738,96812
235,79504,44306
236,63198,75240
237,62662,88928
238,72440,92402
239,80592,250182
240,71684,107822
241,69558,104570
242,1292746,109318
243,67616,7948
244,71398,96102
245,71048,105016
246,87460,178730
247,90644,127806
248,55048,86862
249,58082,74588
250,125636,34134
251,55198,81078
252,87835,87506
253,63178,114728
254,73098,93572
255,140830,201354
256,61946,97272
257,1136800,91538
258,48798,1290
259,65882,80930
260,64858,93076
261,62484,101474
262,67920,72384
263,171164,124708
264,65050,108962
265,11588,34796
266,66220,102864
267,66880,96532
268,63582,95186
269,64772,103240
270,73402,98030
271,86922,207734
272,1416388,168972
273,57058,726
274,50412,95356
275,59254,77270
276,56208,91050
277,60050,80120
278,58804,85706
279,75094,88500
280,190718,105286
281,76424,204922
282,62502,89130
283,62100,67688
284,55950,101858
285,54072,80644
286,57678,83360
287,1360454,82494
288,91212,1884
289,114616,96828
290,61478,96140
291,67906,85012
292,56796,90396
293,62608,106384
294,57700,81318
295,204926,26796
296,64794,49396
297,62846,82072
298,77364,169556
299,69328,102968
300,60284,81808
301,63358,108460
302,1320134,87966
303,38310,1422
304,61336,59412
305,33714,67912
306,2396,34032
307,58486,44536
308,99646,161544
309,73788,120952
310,208480,27618
311,74794,90306
312,76198,117550
313,70200,98114
314,73404,103632
315,126596,127520
316,69718,110710
317,1375610,100210
318,52544,1422
319,66568,117668
320,58542,85864
321,60228,98974
322,63426,89520
323,103296,126352
324,56646,99810
325,286392,19890
326,68404,52140
327,78116,108394
328,72198,103522
329,71506,104014
330,68442,103498
331,75888,203116
332,1494674,101664
333,55184,1224
334,51498,101766
335,63716,98474
336,58980,82690
337,60060,90406
338,63398,89192
339,80556,171374
340,242762,18150
341,68490,68332
342,68518,98814
343,69076,109134
344,68416,107298
345,72172,104330
346,102444,101668
347,1712710,166252
348,56216,924
349,67656,96030
350,71896,102508
351,58990,88958
352,58080,81386
353,55000,84130
354,65470,85498
355,268334,12390
356,77276,167848
357,68094,103056
358,71648,102188
359,67984,110970
360,67828,102930
361,64728,103368
362,1544310,116708
363,70716,1686
364,75538,165276
365,58840,102338
366,62498,91760
367,59064,93748
368,61818,89096
369,61164,87832
370,513136,6350
371,80914,55702
372,79674,213740
373,67220,109408
374,77622,102188
375,72370,116200
376,69178,106638
377,1656614,106388
378,25252,1350
379,127948,96914
380,65678,103750
381,63374,95458
382,67514,92118
383,62700,92436
384,278306,89532
385,484958,3542
386,66560,50668
387,117702,94826
388,77772,183818
389,62226,93396
390,65892,89722
391,64648,97238
392,1430334,77434
393,60526,1290
394,55270,93062
395,69916,90692
396,71976,202540
397,62246,87920
398,71430,96964
399,305612,120848
400,442228,3258
401,89436,45692
402,67914,89894
403,61310,79642
404,120182,134452
405,67200,117478
406,47586,63762
407,1044610,86916
408,151848,1092
409,57976,83074
410,46170,75934
411,47132,66362
412,74058,95210
413,80224,230218
414,1058034,124792
415,293464,2700
416,71286,67824
417,60354,99482
418,58858,88948
419,70938,95600
420,97324,183380
421,70930,119260
422,527018,88750
423,8992,1254
424,68528,110924
425,69400,107418
426,68258,86988
427,119670,176270
428,71288,136060
429,1466122,86746
430,183202,2706
431,71146,66662
432,70950,108006
433,69964,100478
434,95278,191364
435,68900,127562
436,66915,105242
437,455562,78744
438,21300,1686
439,73692,105574
440,76920,108206
441,98156,225896
442,77452,141046
443,77788,110438
444,1512926,106040
445,202178,2676
446,63044,55390
447,88308,113108
448,82758,174718
449,68831,123800
450,52670,102272
451,78050,68314
452,491072,71278
453,187342,1356
454,62606,107024
455,147124,122350
456,84322,154206
457,78888,119772
458,70698,110354
459,1549570,112748
460,328176,1650
461,84470,74276
462,118992,146152
463,71674,126246
464,69690,105504
465,63956,95608
466,65044,94116
467,501112,69786
468,31920,1896
469,144592,119390
470,84352,149696
471,76890,118274
472,58092,104898
473,72006,77130
474,1557950,99616
475,499228,1950
476,123868,2376
477,93712,191704
478,82484,105020
479,59930,98390
480,64898,79018
481,65590,94756
482,143238,67004
483,402070,1620
