Row,RX,TX
0,3516,4296
1,2440,2646
2,1894,2712
3,488592,584690
4,436172,628384
5,384414,658938
6,172408,441994
7,192314,267626
8,282630,272684
9,334782,483122
10,182136,309438
11,182212,181694
12,194184,181370
13,226048,221724
14,215706,216598
15,292998,221370
16,387886,300882
17,380514,349656
18,320734,212436
19,283362,314006
20,302288,182642
21,305240,215868
22,296826,201218
23,299508,200584
24,324882,183654
25,339836,229012
26,328126,182322
27,342824,189076
28,382912,172784
29,383476,215814
30,365016,212730
31,395073,291608
32,401798,268094
33,454407,308028
34,399000,292248
35,444248,235960
36,458688,213142
37,469056,189616
38,461948,194704
39,441094,162204
40,453570,168946
41,467480,150558
42,489412,170814
43,482286,173570
44,484462,155050
45,493078,150450
46,530877,145200
47,546964,202154
48,506632,135848
49,514650,135086
50,523516,128484
51,536426,123946
52,563564,126676
53,573720,230242
54,551508,124834
55,557066,124876
56,576052,126894
57,595054,124754
58,605614,119298
59,648212,222856
60,618892,118752
61,607938,159784
62,615460,166364
63,618252,167784
64,617338,188772
65,669612,165332
66,639483,233592
67,638694,183610
68,624906,163624
69,634762,165226
70,661582,145672
71,659126,142048
72,676100,137396
73,706162,211310
74,657868,140284
75,673970,128824
76,684752,111636
77,691700,121556
78,705262,114794
79,714146,101786
80,783854,133514
81,719055,120684
82,717772,104804
83,732104,113360
84,731520,101530
85,726954,100994
86,756428,96442
87,823628,116316
88,758260,138326
89,742586,100610
90,753754,100022
91,762238,113662
92,772978,95968
93,777762,87506
94,792804,95336
95,866508,105364
96,797660,115720
97,779808,98246
98,791196,94430
99,787546,108708
100,805948,98006
101,804992,99812
102,812216,88702
103,887070,97766
104,837774,137516
105,823396,85416
106,830940,93174
107,828894,100680
108,827526,84214
109,859490,94498
110,852640,89360
111,875320,93432
112,901434,115508
113,868386,105230
114,867116,90924
115,865568,95594
116,894162,99516
117,880952,109108
118,882076,83584
119,883632,114332
120,893514,98934
121,887392,109150
122,930940,130518
123,891636,117396
124,907424,101492
125,902852,90926
126,890156,112124
127,913084,105616
128,909406,116160
129,914622,102292
130,940710,96348
131,951590,73738
132,932070,82468
133,959954,87998
134,930772,127751
135,948692,76514
136,942840,69810
137,938080,69404
138,949626,68716
139,1023683,74296
140,942608,65528
141,948818,73768
142,962886,78750
143,972918,63302
144,982220,63308
145,990038,73114
146,994504,117182
147,1035506,83558
148,969736,65006
149,975112,81822
150,980464,64932
151,977924,63100
152,975974,86970
153,985514,63512
154,987818,63242
155,1004382,67074
156,1000952,104638
157,1018968,65920
158,1017782,65100
159,1045829,127250
160,993648,62772
161,1010296,53704
162,1004226,61872
163,1019334,48548
164,1018296,69490
165,1016394,59540
166,1018948,73208
167,1021740,66820
168,1032980,56618
169,1036606,56288
170,1041908,56328
171,1040778,53240
172,1058494,63150
173,1054086,64342
174,1062420,78530
175,1059904,91750
176,1061938,60592
177,1049494,50202
178,1048076,60128
179,1048928,54032
180,1041094,52864
181,1063662,54708
182,1065358,66894
183,1061800,62378
184,1066978,58296
185,1073276,51120
186,1062670,46526
187,1082542,49394
188,1075290,47198
189,1088380,56714
190,1075894,51988
191,1098080,91782
192,1079460,76526
193,1084090,64522
194,1090908,46924
195,1090090,55594
196,1082104,50508
197,1086296,52510
198,1087114,50822
199,1084492,50362
200,1087442,56678
201,1101642,55808
202,1095838,43260
203,1101476,41202
204,1114676,44144
205,1113474,45578
206,1110590,42284
207,1115732,49210
208,1126058,38208
209,1126072,45464
210,1145662,49014
211,1126172,66956
212,1115332,62014
213,1125920,46478
214,1116950,51480
215,1115876,47332
216,1123400,42914
217,1115498,44060
218,1117762,42740
219,1118424,36958
220,1124182,47794
221,1129819,43802
222,1125146,37994
223,1129438,48622
224,1141806,48854
225,1123970,32760
226,1134125,49534
227,1138692,48542
228,1146478,36186
229,1179818,45660
230,1127896,37000
231,1140330,28410
232,1144690,34452
233,1147378,30318
234,1138360,31854
235,1154322,46060
236,1145558,30252
237,1208592,36304
238,1152326,48576
239,1177116,41018
240,1173822,60092
241,1157754,56300
242,1145554,26598
243,1154998,38362
244,1156548,29554
245,1159084,47382
246,1171374,72584
247,1167468,33508
248,1156996,28386
249,1161966,40626
250,1154660,15360
251,1150716,40200
252,1160062,29326
253,1155246,39684
254,1197674,77002
255,1168850,52298
256,1157412,35764
257,1153352,38870
258,1162514,39998
259,1150319,22280
260,1157758,43452
261,1168556,34876
262,1207296,127178
263,1170292,23410
264,1156178,30630
265,1179364,31372
266,1170862,32082
267,1172270,37758
268,1172408,19340
269,1167466,16736
270,1183764,30924
271,1196658,58548
272,1081020,20404
273,1171622,21694
274,137768,22376
275,1165200,14322
276,1118462,29494
277,1168038,7844
278,1182702,22266
279,1285228,41166
280,1175952,35194
281,1152870,36412
282,275711,18978
283,1169824,23492
284,1179797,34104
285,1190826,39192
286,1234503,34650
287,1181657,35854
288,1191033,30956
289,1183850,21810
290,1192210,33178
291,1198694,30316
292,1189772,31330
293,1198302,33378
294,1212626,19040
295,1183874,65698
296,1208670,26054
297,1196242,20560
298,1193580,63354
299,1198168,50708
300,1193404,22206
301,1189154,23542
302,1184660,42596
303,1185708,56380
304,1177738,30006
305,1181898,16400
306,1182734,35904
307,1189458,36554
308,1195096,37208
309,1194750,17126
310,1188230,30480
311,1184554,57196
312,1193082,16930
313,1190934,22748
314,1196616,21982
315,1185622,26254
316,1191104,33620
317,1188302,33694
318,1199764,16606
319,1190184,47340
320,1189070,33380
321,1190356,31228
322,1193854,23496
323,1194996,25904
324,1198430,24758
325,1195184,46708
326,1196470,33968
327,1205666,36864
328,1208092,30192
329,1210842,28486
330,1203588,41594
331,1206031,17744
332,1208393,33568
333,1219235,15830
334,1220529,23846
335,1214879,22262
336,1216504,21340
337,1204650,17158
338,1208224,22456
339,1213070,33814
340,1224295,18476
341,1222016,23178
342,1211814,15364
343,1217494,16452
344,1208106,20316
345,1214534,19752
346,1213252,16528
347,1208574,23094
348,1244022,24420
349,1276238,18126
350,1120878,30190
351,1156658,33550
352,1180284,22150
353,1166464,16832
354,1214312,17294
355,1217234,17036
356,1311976,18714
357,1308802,14780
358,1219244,18190
359,1226418,16338
360,1204788,17016
361,1272002,21700
362,1240802,17344
363,1317516,15538
364,1225416,14394
365,1225654,29768
366,1220578,29072
367,1211988,33804
368,1222990,27562
369,1256870,37818
370,1290308,14066
371,1223622,21354
372,1206724,26230
373,1220728,43482
374,1258596,51592
375,1226404,24424
376,1144234,19670
377,1290128,43084
378,893556,15030
379,601568,26336
380,1221334,7836
381,1220907,21374
382,1222182,18284
383,1228146,9898
384,1178720,25114
385,1233810,18066
386,1118024,17738
387,1223198,19774
388,1140426,34206
389,1337634,21140
390,1125572,16830
391,1219550,19506
392,1220682,22114
393,1210758,23244
394,1171164,21478
395,183576,23296
396,1223328,11942
397,1218992,36098
398,1225086,16908
399,1220480,29700
400,1222940,19670
401,1224685,27630
402,1220248,34238
403,1226188,21868
404,1223838,25148
405,1225792,20156
406,1222102,39754
407,1217704,34424
408,1219118,27148
409,1227102,25360
410,1223836,16574
411,1226480,19266
412,1219912,36820
413,1224476,16216
414,1229314,18756
415,1222784,18818
416,1225044,18020
417,1287270,24184
418,1190680,18206
419,1223950,17840
420,1235816,24928
421,1222732,28880
422,1116218,33496
423,1173529,24078
424,1223212,36382
425,1214744,18784
426,1215438,25004
427,1206892,29186
428,1298496,30878
429,1233144,32982
430,1187570,23690
431,1224616,34268
432,1144862,19148
433,1338570,30378
434,1201788,16696
435,1223128,15878
436,1230986,20866
437,1275124,36384
438,1213756,36064
439,1152478,25726
440,1211036,16454
441,1247942,21224
442,1345284,16116
443,1363396,14328
444,770148,23426
445,573236,15450
446,1227484,8192
447,1229600,25342
448,1229756,21200
449,1243930,28282
450,1226526,41478
451,1227874,26992
452,1230142,18872
453,1225576,18194
454,1231318,20086
455,1202688,28556
456,1229568,19634
457,1201754,28264
458,1231342,51740
459,1236134,20460
460,1249798,23748
461,1139126,29782
462,1222636,35792
463,1263660,36620
464,1351820,18778
465,1215740,20866
466,1262760,20464
467,1241998,20180
468,1235478,16402
469,1189230,22304
470,1249106,16632
471,1200520,20308
472,1231056,21058
473,1205338,18556
474,1269794,40834
475,1242248,37874
476,1248148,27894
477,1127170,17814
478,1274930,16154
479,1241576,15054
480,1207524,28130
481,1178934,17314
482,1189072,39146
483,1202268,48356
484,1250548,25578
485,1333334,20216
486,1243780,20204
487,1359578,15228
488,1277509,14588
489,1336267,18828
490,1407437,41958
491,900565,23466
492,1244976,25046
493,1254215,20564
494,1255946,17184
495,1247000,24614
496,1249474,24280
497,1379020,21810
498,1262514,27460
499,1164500,53492
500,1142654,19718
501,1248226,17400
502,1239302,20774
503,1235518,32358
504,1310898,16358
505,1233932,19296
506,1231906,26882
507,1217292,35380
508,1040134,23658
509,1248894,19044
510,1269190,30510
511,1253098,32870
512,1252530,23802
513,1249310,32712
514,1275466,14778
515,1378544,38052
516,1309548,38730
517,1246230,22100
518,1265602,14514
519,1336835,27240
520,1252426,12360
521,1260370,19656
522,1243592,27720
523,1269448,39014
524,1322854,33534
525,1164664,19566
526,1244210,15818
527,1244714,21486
528,1239652,28062
529,1366424,18112
530,1394790,24956
531,1268750,23304
532,1259968,22370
533,1255946,18984
534,1254856,21706
535,1254667,20250
536,1156242,23468
537,1254868,28982
538,1270922,17236
539,1285012,25246
540,1251244,21378
541,1254106,15610
542,1146562,22212
543,1127192,16966
544,1253672,10614
545,1258442,16528
546,1261273,20142
547,1262916,25204
548,1158970,40296
549,1360976,27110
550,1239830,15904
551,1275858,18768
552,1254950,23204
553,1264634,18506
554,1273516,23872
555,1281846,39020
556,1250604,16522
557,1085534,20066
558,1254062,15256
559,1262286,12284
560,1268414,9916
561,1256092,16488
562,1259926,16724
563,1267002,22826
564,1155702,33538
565,1154998,19604
566,1085040,23636
567,1252614,18650
568,1366924,16062
569,508966,16400
570,1259310,21796
571,1274136,24816
572,1224210,32926
573,1141420,23494
574,1127524,20330
575,1268308,14070
576,1272736,24392
577,1374720,21922
578,1386656,33592
579,709488,27438
580,1269904,9004
581,1260416,39482
582,1260741,19840
583,1259990,18690
584,1261048,18784
585,1327714,19200
586,1259224,20430
587,1271718,21778
588,1197028,32882
589,1257372,20706
590,531414,15556
591,1261476,9282
592,1263246,23012
593,1258328,19790
594,1264162,23146
595,1264824,19480
596,1147144,31684
597,1280290,24600
598,1263828,18992
599,1181200,24974
